config,Brill,EntityResolution,Dotstar,PowerEN,CRISPR_CasOFFinder,CRISPR_CasOT,RandomForest_20_400_200,RandomForest_20_400_270,RandomForest_20_800_200,Hamming_N1000_l18_d3,Hamming_N1000_l22_d5,Hamming_N1000_l31_d10,Levenshtein_l19d3,Levenshtein_l24d5,Levenshtein_l37d10,Protomata,APPRNG4,SeqMatch_BIBLE_w6_p6,SeqMatch_BIBLE_w6_p10,Fermi,YARA,Bro217,ExactMath,Ranges05,Ranges1,TCP
before-hotstart-nt_,6.79248,9.108471,41.064581,32.970172,4.109988,1.815733,4.773921,-1.0,-1.0,5.642327,-1.0,-1.0,1.23106,-1.0,-1.0,30.495631,3.566442,7.952852,-1.0,-1.0,3.534417,347.73229,283.197842,278.927813,276.3551,179.770678
before-nfacg_,1.060613,0.740955,7.346126,9.281832,5.065893,2.545247,0.325797,-1.0,-1.0,4.91524,-1.0,-1.0,1.091527,-1.0,-1.0,4.751153,8.032496,3.114229,-1.0,-1.0,0.258865,143.187204,78.476178,77.617408,79.587591,31.312482
