config,Brill,EntityResolution,Dotstar,PowerEN,CRISPR_CasOFFinder,CRISPR_CasOT,RandomForest_20_400_200,RandomForest_20_400_270,RandomForest_20_800_200,Hamming_N1000_l18_d3,Hamming_N1000_l22_d5,Hamming_N1000_l31_d10,Levenshtein_l19d3,Levenshtein_l24d5,Levenshtein_l37d10,Protomata,APPRNG4,SeqMatch_BIBLE_w6_p6,SeqMatch_BIBLE_w6_p10,Fermi,YARA,Bro217,ExactMath,Ranges05,Ranges1,TCP
before-hyperscan_,1.19,1.63,196.01,214.16,0.31,-2.0,0.4,-1.0,-1.0,-2.0,-1.0,-1.0,-2.0,-1.0,-1.0,1.89,-2.0,2.9,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,148.87
before-vasim_,0.00182745,0.00227549,0.0421592,0.0414737,0.00224541,0.00102094,0.000835522,-1.0,-1.0,0.00158883,-1.0,-1.0,0.00145724,-1.0,-1.0,0.036843,0.00426582,0.0034086,-1.0,-1.0,0.000988023,1.12633,0.710085,0.689543,0.688317,0.27223
