config,Brill,EntityResolution,Dotstar,PowerEN,CRISPR_CasOFFinder,CRISPR_CasOT,RandomForest_20_400_200,RandomForest_20_400_270,RandomForest_20_800_200,Hamming_N1000_l18_d3,Hamming_N1000_l22_d5,Hamming_N1000_l31_d10,Levenshtein_l19d3,Levenshtein_l24d5,Levenshtein_l37d10,Protomata,APPRNG4,SeqMatch_BIBLE_w6_p6,SeqMatch_BIBLE_w6_p10,Fermi,YARA,Bro217,ExactMath,Ranges05,Ranges1,TCP
before-hotstart-nt_,0.494784,1.625315,1.105979,1.081417,0.43556,0.229399,1.061616,-1.0,-1.0,0.270078,-1.0,-1.0,0.207295,-1.0,-1.0,0.525129,2.025399,1.10874,-1.0,-1.0,0.786183,1.48677,1.741122,1.659348,1.656274,1.393163
before-nfacg_,0.981108,0.776644,1.374135,1.576036,1.508545,1.164417,0.393835,-1.0,-1.0,1.373664,-1.0,-1.0,0.963854,-1.0,-1.0,1.776493,1.281999,1.745596,-1.0,-1.0,0.25054,1.68832,1.65701,1.600435,1.639692,1.656128
